2020-04-29 12:04:420 INFO  BrowserSelector :19 - Launching Chrome Browser
2020-04-29 12:04:22 INFO  BrowserSelector :19 - Launching Chrome Browser
2020-04-29 12:04:315 INFO  BrowserSelector :19 - Launching Chrome Browser
2020-04-29 12:04:768 INFO  BrowserSelector :19 - Launching Chrome Browser
2020-04-29 12:04:347 INFO  BrowserSelector :19 - Launching Chrome Browser
2020-04-29 12:04:531 INFO  BrowserSelector :19 - Launching Chrome Browser
2020-04-29 12:04:100 INFO  BrowserSelector :19 - Launching Chrome Browser
2020-04-29 12:04:949 INFO  BrowserSelector :19 - Launching Chrome Browser
2020-04-29 12:04:948 INFO  BrowserSelector :19 - Launching Chrome Browser
2020-04-29 12:04:278 INFO  BrowserSelector :19 - Launching Chrome Browser
2020-04-29 12:04:267 INFO  BrowserSelector :19 - Launching Chrome Browser
2020-04-29 12:04:757 INFO  BrowserSelector :19 - Launching Chrome Browser
2020-04-29 12:04:772 INFO  BrowserSelector :19 - Launching Chrome Browser
2020-04-29 12:04:107 INFO  BrowserSelector :19 - Launching Chrome Browser
2020-04-29 12:04:156 INFO  BrowserSelector :19 - Launching Chrome Browser
2020-04-29 12:04:158 INFO  BrowserSelector :19 - Launching Chrome Browser
2020-04-29 12:04:902 INFO  BrowserSelector :19 - Launching Chrome Browser
2020-04-29 12:04:262 INFO  HomePage :27 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (65754363a44c022cf6b9c0bda6d26f2d)] -> link text: Log in]
2020-04-29 12:04:300 INFO  LoginPage :58 - verify welcome text: displayed on welcome text [[ChromeDriver: chrome on WINDOWS (65754363a44c022cf6b9c0bda6d26f2d)] -> xpath: //div[@class='page-title']//h1]
2020-04-29 12:04:975 INFO  BrowserSelector :19 - Launching Chrome Browser
2020-04-29 12:04:650 INFO  HomePage :27 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (dad354b796b207379525faa08d7bef0e)] -> link text: Log in]
2020-04-29 12:04:838 INFO  LoginPage :37 - Enter email : bjrpatel17@yahoo.com to email field [[ChromeDriver: chrome on WINDOWS (dad354b796b207379525faa08d7bef0e)] -> id: Email]
2020-04-29 12:04:950 INFO  LoginPage :45 - Enter password: abc123to password field[[ChromeDriver: chrome on WINDOWS (dad354b796b207379525faa08d7bef0e)] -> id: Password]
2020-04-29 12:04:37 INFO  LoginPage :52 - Click on login button[[ChromeDriver: chrome on WINDOWS (dad354b796b207379525faa08d7bef0e)] -> xpath: //input[@class='button-1 login-button']]
2020-04-29 12:04:704 INFO  BrowserSelector :19 - Launching Chrome Browser
2020-04-29 12:04:581 INFO  HomePage :27 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (a811f94a08f20d07c1e38d4c32addfee)] -> link text: Log in]
2020-04-29 12:04:701 INFO  LoginPage :37 - Enter email : xyz13@gmail.com to email field [[ChromeDriver: chrome on WINDOWS (a811f94a08f20d07c1e38d4c32addfee)] -> id: Email]
2020-04-29 12:04:809 INFO  LoginPage :45 - Enter password: abc123to password field[[ChromeDriver: chrome on WINDOWS (a811f94a08f20d07c1e38d4c32addfee)] -> id: Password]
2020-04-29 12:04:882 INFO  LoginPage :52 - Click on login button[[ChromeDriver: chrome on WINDOWS (a811f94a08f20d07c1e38d4c32addfee)] -> xpath: //input[@class='button-1 login-button']]
2020-04-29 12:04:614 INFO  BrowserSelector :19 - Launching Chrome Browser
2020-04-29 12:04:341 INFO  HomePage :27 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (3c0ab178c31ffc1ecc05146b945f4131)] -> link text: Log in]
2020-04-29 12:04:452 INFO  LoginPage :37 - Enter email : xyz1@gmail.com to email field [[ChromeDriver: chrome on WINDOWS (3c0ab178c31ffc1ecc05146b945f4131)] -> id: Email]
2020-04-29 12:04:559 INFO  LoginPage :45 - Enter password: abc1234to password field[[ChromeDriver: chrome on WINDOWS (3c0ab178c31ffc1ecc05146b945f4131)] -> id: Password]
2020-04-29 12:04:630 INFO  LoginPage :52 - Click on login button[[ChromeDriver: chrome on WINDOWS (3c0ab178c31ffc1ecc05146b945f4131)] -> xpath: //input[@class='button-1 login-button']]
2020-04-29 12:04:347 INFO  BrowserSelector :19 - Launching Chrome Browser
2020-04-29 12:04:360 INFO  HomePage :27 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (0971def3768467f99bc96d860b24cdee)] -> link text: Log in]
2020-04-29 12:04:477 INFO  LoginPage :37 - Enter email : ram111@yahoo.com to email field [[ChromeDriver: chrome on WINDOWS (0971def3768467f99bc96d860b24cdee)] -> id: Email]
2020-04-29 12:04:585 INFO  LoginPage :45 - Enter password: london3to password field[[ChromeDriver: chrome on WINDOWS (0971def3768467f99bc96d860b24cdee)] -> id: Password]
2020-04-29 12:04:648 INFO  LoginPage :52 - Click on login button[[ChromeDriver: chrome on WINDOWS (0971def3768467f99bc96d860b24cdee)] -> xpath: //input[@class='button-1 login-button']]
2020-04-29 12:04:205 INFO  BrowserSelector :19 - Launching Chrome Browser
2020-04-29 12:04:79 INFO  HomePage :27 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (4a8fed66f9f9269e89f8fa5f02d6baf8)] -> link text: Log in]
2020-04-29 12:04:214 INFO  LoginPage :37 - Enter email : ram222@yahoo.com to email field [[ChromeDriver: chrome on WINDOWS (4a8fed66f9f9269e89f8fa5f02d6baf8)] -> id: Email]
2020-04-29 12:04:323 INFO  LoginPage :45 - Enter password: london1to password field[[ChromeDriver: chrome on WINDOWS (4a8fed66f9f9269e89f8fa5f02d6baf8)] -> id: Password]
2020-04-29 12:04:401 INFO  LoginPage :52 - Click on login button[[ChromeDriver: chrome on WINDOWS (4a8fed66f9f9269e89f8fa5f02d6baf8)] -> xpath: //input[@class='button-1 login-button']]
2020-04-29 12:04:803 INFO  BrowserSelector :19 - Launching Chrome Browser
2020-04-29 12:04:252 INFO  HomePage :27 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (e942435e08abf28a561e0b233b12527f)] -> link text: Log in]
2020-04-29 12:04:455 INFO  LoginPage :37 - Enter email : xyz13@gmail.com to email field [[ChromeDriver: chrome on WINDOWS (e942435e08abf28a561e0b233b12527f)] -> xpath: //input[@id='Email']]
2020-04-29 12:04:593 INFO  LoginPage :45 - Enter password: abc123to password field[[ChromeDriver: chrome on WINDOWS (e942435e08abf28a561e0b233b12527f)] -> id: Password]
2020-04-29 12:04:230 INFO  LoginPage :52 - Click on login buttonProxy element for: DefaultElementLocator 'By.xpath: //input[@class='button-1 login-button']'
2020-04-29 12:04:301 INFO  LoginPage :67 - Verify welcome store text: displayed on welcome store page[[ChromeDriver: chrome on WINDOWS (e942435e08abf28a561e0b233b12527f)] -> xpath: //div[@class='topic-block-title']//h2[text()='Welcome to our store']]
2020-04-29 12:04:961 INFO  BrowserSelector :19 - Launching Chrome Browser
2020-04-29 12:04:410 INFO  HomePage :27 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (0859300bb2c34b0e8dd80bd792ab253f)] -> link text: Log in]
